in:WU,in:SHGC,in:InsTh,in:InsLa,in:CSB,in:CSP_R,in:CSP_O,in:HSB,in:HSP_R,in:HSP_O,in:SD,in:NOfS,in:DOASHC,in:RadCoilLowT,in:dTRad,in:RadCtrTh,in:RadSurfType,in:DOAS_SHT,in:DOAS_SLT,out:kgCO2,out:Comf time,out:Condensation,out:HP_SCOP,out:PeakCL,out:PeakHL,img,threeD
2,0.9,4,0,35,26,26,17,21,21,0.1,4,5,20,4,2,3,23,17,25718,70.71,0,3.58,12465,25043,WU2_SHGC0.9_InsTh4_InsLa0_CSB35_CSP_R26_CSP_O26_HSB17_HSP_R21_HSP_O21_SD0.1_NOfS4_DOASHC5_RadCoilLowT20_dTRad4_RadCtrTh2_RadSurfType3_DOAS_SHT23_DOAS_SLT17_Top.png,WU2_SHGC0.9_InsTh4_InsLa0_CSB35_CSP_R26_CSP_O26_HSB17_HSP_R21_HSP_O21_SD0.1_NOfS4_DOASHC5_RadCoilLowT20_dTRad4_RadCtrTh2_RadSurfType3_DOAS_SHT23_DOAS_SLT17.json
2,0.8,2,0,33,23,25,15,18,21,0.2,3,6,22,6,2,0,26,13,31864,80.58,0,3.54,12031,29125,WU2_SHGC0.8_InsTh2_InsLa0_CSB33_CSP_R23_CSP_O25_HSB15_HSP_R18_HSP_O21_SD0.2_NOfS3_DOASHC6_RadCoilLowT22_dTRad6_RadCtrTh2_RadSurfType0_DOAS_SHT26_DOAS_SLT13_Top.png,WU2_SHGC0.8_InsTh2_InsLa0_CSB33_CSP_R23_CSP_O25_HSB15_HSP_R18_HSP_O21_SD0.2_NOfS3_DOASHC6_RadCoilLowT22_dTRad6_RadCtrTh2_RadSurfType0_DOAS_SHT26_DOAS_SLT13.json
4,0.9,5,3,33,28,23,15,20,19,0.1,2,9,23,4,2,3,29,17,32012,50.03,0,3.81,17091,25153,WU4_SHGC0.9_InsTh5_InsLa3_CSB33_CSP_R28_CSP_O23_HSB15_HSP_R20_HSP_O19_SD0.1_NOfS2_DOASHC9_RadCoilLowT23_dTRad4_RadCtrTh2_RadSurfType3_DOAS_SHT29_DOAS_SLT17_Top.png,WU4_SHGC0.9_InsTh5_InsLa3_CSB33_CSP_R28_CSP_O23_HSB15_HSP_R20_HSP_O19_SD0.1_NOfS2_DOASHC9_RadCoilLowT23_dTRad4_RadCtrTh2_RadSurfType3_DOAS_SHT29_DOAS_SLT17.json
2,0.7,4,2,35,28,25,15,21,19,0.3,4,6,22,4,2,1,27,18,27977,66.57,0,3.81,9370,22901,WU2_SHGC0.7_InsTh4_InsLa2_CSB35_CSP_R28_CSP_O25_HSB15_HSP_R21_HSP_O19_SD0.3_NOfS4_DOASHC6_RadCoilLowT22_dTRad4_RadCtrTh2_RadSurfType1_DOAS_SHT27_DOAS_SLT18_Top.png,WU2_SHGC0.7_InsTh4_InsLa2_CSB35_CSP_R28_CSP_O25_HSB15_HSP_R21_HSP_O19_SD0.3_NOfS4_DOASHC6_RadCoilLowT22_dTRad4_RadCtrTh2_RadSurfType1_DOAS_SHT27_DOAS_SLT18.json
2,0.7,2,1,34,24,26,13,19,19,0.1,0,1,21,4,1,1,24,17,28042,83.01,0,3.78,10325,28866,WU2_SHGC0.7_InsTh2_InsLa1_CSB34_CSP_R24_CSP_O26_HSB13_HSP_R19_HSP_O19_SD0.1_NOfS0_DOASHC1_RadCoilLowT21_dTRad4_RadCtrTh1_RadSurfType1_DOAS_SHT24_DOAS_SLT17_Top.png,WU2_SHGC0.7_InsTh2_InsLa1_CSB34_CSP_R24_CSP_O26_HSB13_HSP_R19_HSP_O19_SD0.1_NOfS0_DOASHC1_RadCoilLowT21_dTRad4_RadCtrTh1_RadSurfType1_DOAS_SHT24_DOAS_SLT17.json
3,0.9,2,3,30,25,27,15,20,20,0.3,0,1,20,6,3,0,26,20,24627,85.48,0,3.59,12101,29006,WU3_SHGC0.9_InsTh2_InsLa3_CSB30_CSP_R25_CSP_O27_HSB15_HSP_R20_HSP_O20_SD0.3_NOfS0_DOASHC1_RadCoilLowT20_dTRad6_RadCtrTh3_RadSurfType0_DOAS_SHT26_DOAS_SLT20_Top.png,WU3_SHGC0.9_InsTh2_InsLa3_CSB30_CSP_R25_CSP_O27_HSB15_HSP_R20_HSP_O20_SD0.3_NOfS0_DOASHC1_RadCoilLowT20_dTRad6_RadCtrTh3_RadSurfType0_DOAS_SHT26_DOAS_SLT20.json
1,0.9,3,3,32,25,26,16,19,20,0,2,5,18,3,1,1,28,18,22444,77.92,66.333333,3.74,14153,23257,WU1_SHGC0.9_InsTh3_InsLa3_CSB32_CSP_R25_CSP_O26_HSB16_HSP_R19_HSP_O20_SD0_NOfS2_DOASHC5_RadCoilLowT18_dTRad3_RadCtrTh1_RadSurfType1_DOAS_SHT28_DOAS_SLT18_Top.png,WU1_SHGC0.9_InsTh3_InsLa3_CSB32_CSP_R25_CSP_O26_HSB16_HSP_R19_HSP_O20_SD0_NOfS2_DOASHC5_RadCoilLowT18_dTRad3_RadCtrTh1_RadSurfType1_DOAS_SHT28_DOAS_SLT18.json
3,0.6,5,1,33,27,27,16,19,21,0,0,5,23,6,1,0,27,13,30233,90.13,0,3.84,7176,27548,WU3_SHGC0.6_InsTh5_InsLa1_CSB33_CSP_R27_CSP_O27_HSB16_HSP_R19_HSP_O21_SD0_NOfS0_DOASHC5_RadCoilLowT23_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT13_Top.png,WU3_SHGC0.6_InsTh5_InsLa1_CSB33_CSP_R27_CSP_O27_HSB16_HSP_R19_HSP_O21_SD0_NOfS0_DOASHC5_RadCoilLowT23_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT13.json
2,0.6,3,0,32,27,26,15,18,20,0.1,2,5,21,3,1,1,28,14,27552,82.6,0,3.8,8273,25472,WU2_SHGC0.6_InsTh3_InsLa0_CSB32_CSP_R27_CSP_O26_HSB15_HSP_R18_HSP_O20_SD0.1_NOfS2_DOASHC5_RadCoilLowT21_dTRad3_RadCtrTh1_RadSurfType1_DOAS_SHT28_DOAS_SLT14_Top.png,WU2_SHGC0.6_InsTh3_InsLa0_CSB32_CSP_R27_CSP_O26_HSB15_HSP_R18_HSP_O20_SD0.1_NOfS2_DOASHC5_RadCoilLowT21_dTRad3_RadCtrTh1_RadSurfType1_DOAS_SHT28_DOAS_SLT14.json
1,0.9,6,3,31,23,26,16,19,21,0,2,9,19,5,2,0,22,18,22290,72.34,0,3.62,14366,25384,WU1_SHGC0.9_InsTh6_InsLa3_CSB31_CSP_R23_CSP_O26_HSB16_HSP_R19_HSP_O21_SD0_NOfS2_DOASHC9_RadCoilLowT19_dTRad5_RadCtrTh2_RadSurfType0_DOAS_SHT22_DOAS_SLT18_Top.png,WU1_SHGC0.9_InsTh6_InsLa3_CSB31_CSP_R23_CSP_O26_HSB16_HSP_R19_HSP_O21_SD0_NOfS2_DOASHC9_RadCoilLowT19_dTRad5_RadCtrTh2_RadSurfType0_DOAS_SHT22_DOAS_SLT18.json
